,,,,,maxerr,err050,err075,err200,err_train,err_val,regparams,objval,time
DMA1,DW,nongrouped,set001,0,5.019790119759364,78.94736842105263,88.89091240211255,99.12584228737936,2.0653270449065007,2.768532088686126,0.0,2.065327036412782,83.66307260796931
DMA1,DW,nongrouped,set001,1,5.019790119754916,78.94736842105263,88.89091240211255,99.12584228737936,2.0653270449085763,2.768532088612655,1e-15,2.06532703644123,84.05074423104394
DMA1,DW,nongrouped,set001,2,5.019790119733997,78.94736842105263,88.89091240211255,99.12584228737936,2.065327044909833,2.768532088548496,1e-14,2.065327036566295,83.31199879561254
DMA1,DW,nongrouped,set001,3,5.019790119608004,78.94736842105263,88.89091240211255,99.12584228737936,2.065327044908137,2.7685320883377513,1e-13,2.0653270378169406,83.6216007917479
DMA1,DW,nongrouped,set001,4,5.019790118432056,78.94736842105263,88.89091240211255,99.12584228737936,2.0653270449001337,2.7685320858424425,1e-12,2.065327050308847,85.62626608237908
DMA1,DW,nongrouped,set001,5,5.0197901065433825,78.94736842105263,88.89091240211255,99.12584228737936,2.065327044824424,2.768532060851761,1.0000000000000001e-11,2.0653271753297706,85.4986929658811
DMA1,DW,nongrouped,set001,6,5.019789987631128,78.94736842105263,88.89091240211255,99.12584228737936,2.065327044069677,2.768531810872548,1e-10,2.065328425203893,87.26406408915204
DMA1,DW,nongrouped,set001,7,5.019788798614485,78.94736842105263,88.89091240211255,99.12584228737936,2.0653270365321594,2.7685293109057705,1e-09,2.065340924077551,84.42227509475569
DMA1,DW,nongrouped,set001,8,5.019776923908864,78.94736842105263,88.89091240211255,99.12584228737936,2.0653269605637536,2.768504344848351,1e-08,2.0654659079830053,82.85707949727089
DMA1,DW,nongrouped,set001,9,5.0256179854639385,79.1659078492078,89.00018211619013,99.12584228737936,2.065792705144242,2.7624222074667073,1e-07,2.0671845141884218,79.91606283344126
DMA1,DW,nongrouped,set001,10,5.019208422826239,79.02021489710435,88.92733564013841,99.12584228737936,2.0653129965800003,2.7665490393375802,1e-06,2.079160557131557,85.45085106910771
DMA1,DW,nongrouped,set001,11,5.013672660104419,79.34802403933709,89.09124021125479,99.12584228737936,2.0655284100368427,2.755133806273056,9.999999999999999e-06,2.199546565989898,80.05549677133489
DMA1,DW,nongrouped,set001,12,5.005454334395338,81.78838098706976,89.87433982881078,99.10763066836643,2.0987105485077007,2.646471838491595,0.0001,2.598407884612225,134.73801450568362
DMA1,DW,nongrouped,set001,13,4.9878460433832,70.97067929338918,83.8645055545438,98.94372609725005,3.188684109555238,3.2998195791332887,0.001,4.898699625948735,93.23201438079687
DMA1,DW,nongrouped,set001,14,5.1037976794142565,63.30358768894555,71.62629757785467,96.19377162629758,6.378537026634955,6.372492978663471,0.01,13.371486862686416,52.668763937491605
DMA1,DW,nongrouped,set001,15,7.4328021389737415,52.08523037698052,65.39792387543253,87.03332726279366,26.076964888444667,24.520562642718968,0.1,38.69759865232227,34.9227699371888
DMA1,DW,nongrouped,set002,0,5.0238378869832445,78.78346384993627,88.87270078309962,99.0894190493535,2.0238166481418207,2.7414751118850034,0.0,2.0238166473718593,119.80082228527388
DMA1,DW,nongrouped,set002,1,5.023837886930366,78.78346384993627,88.87270078309962,99.0894190493535,2.023816648144384,2.7414751118917215,1e-15,2.023816647386495,120.64554954027128
DMA1,DW,nongrouped,set002,2,5.023837885616189,78.78346384993627,88.87270078309962,99.0894190493535,2.023816648100115,2.741475111222018,1e-14,2.0238166474745616,119.70244957696745
DMA1,DW,nongrouped,set002,3,5.02383787295561,78.78346384993627,88.87270078309962,99.0894190493535,2.0238166476795065,2.7414751048267876,1e-13,2.0238166483552287,121.1360376165788
DMA1,DW,nongrouped,set002,4,5.023837746287086,78.78346384993627,88.87270078309962,99.0894190493535,2.0238166434882348,2.741475041009219,1e-12,2.023816657351072,120.54321424325035
DMA1,DW,nongrouped,set002,5,5.023836478479524,78.78346384993627,88.87270078309962,99.0894190493535,2.0238166014556955,2.7414744017195245,1.0000000000000001e-11,2.0238167470330124,120.28496123805556
DMA1,DW,nongrouped,set002,6,5.023823798862324,78.78346384993627,88.87270078309962,99.0894190493535,2.0238161807893014,2.7414680137264886,1e-10,2.0238176435899238,119.04581077601729
DMA1,DW,nongrouped,set002,7,5.023697277795037,78.78346384993627,88.87270078309962,99.0894190493535,2.023811935046883,2.741404890211407,1e-09,2.0238265700108626,118.26807030269644
DMA1,DW,nongrouped,set002,8,5.022383481298334,78.76525223092334,88.89091240211255,99.0894190493535,2.0237646059054413,2.7408462896695904,1e-08,2.0239109466408642,117.60160351188435
DMA1,DW,nongrouped,set002,9,5.001559587913178,78.96558004006556,89.01839373520306,99.07120743034056,2.0232570993499515,2.727145268491822,1e-07,2.0247231175176568,121.25768459932304
DMA1,DW,nongrouped,set002,10,4.99282209538417,79.5301402294664,89.23693316335822,99.12584228737936,2.0307434391672756,2.690882278026975,1e-06,2.0446367909372385,100.3185497909002
DMA1,DW,nongrouped,set002,11,5.011712867398742,79.73046803860863,89.29156802039702,99.10763066836643,2.0407566965975,2.693554487895674,9.999999999999999e-06,2.168529518248527,83.19406334496377
DMA1,DW,nongrouped,set002,12,5.001631622431418,81.78838098706976,89.80149335275907,99.10763066836643,2.113655694390919,2.6560532408740043,0.0001,2.6008303016120795,110.18455184896571
DMA1,DW,nongrouped,set002,13,4.9870070959489965,70.87962119832453,83.77344745947914,98.94372609725005,3.185149868705104,3.30955880718582,0.001,4.886776053064908,92.68243048468896
DMA1,DW,nongrouped,set002,14,5.114620855207633,63.28537606993262,71.62629757785467,96.19377162629758,6.3753245917818555,6.372956242205492,0.01,13.371550542466792,54.91631560083794
DMA1,DW,nongrouped,set002,15,7.431745709117763,52.10344199599345,65.39792387543253,86.9969040247678,26.08184939733684,24.524911627599256,0.1,38.69769660946331,34.34766722637609
DMA1,DW,nongrouped,set003,0,5.037552690981812,78.9291568020397,89.12766344928063,99.12584228737936,2.061491688672403,2.750186708025039,0.0,2.0614916850463487,72.3165669996125
DMA1,DW,nongrouped,set003,1,5.037552691014724,78.9291568020397,89.12766344928063,99.12584228737936,2.061491688674102,2.750186708029336,1e-15,2.0614916850601492,71.92686254500414
DMA1,DW,nongrouped,set003,2,5.03755269096979,78.9291568020397,89.12766344928063,99.12584228737936,2.061491688671381,2.7501867080089744,1e-14,2.061491685155248,71.91490335389403
DMA1,DW,nongrouped,set003,3,5.037552690951969,78.9291568020397,89.12766344928063,99.12584228737936,2.061491688667042,2.750186707884124,1e-13,2.061491686411828,71.96829458564538
DMA1,DW,nongrouped,set003,4,5.037552690477284,78.9291568020397,89.12766344928063,99.12584228737936,2.061491688607987,2.7501867065757715,1e-12,2.061491698730247,71.36201466307517
DMA1,DW,nongrouped,set003,5,5.0375526856967525,78.9291568020397,89.12766344928063,99.12584228737936,2.0614916880153316,2.7501866934917505,1.0000000000000001e-11,2.0614918223509915,72.02302107934672
DMA1,DW,nongrouped,set003,6,5.037552637964737,78.9291568020397,89.12766344928063,99.12584228737936,2.0614916820931817,2.750186562661034,1e-10,2.0614930584706403,71.23198871913222
DMA1,DW,nongrouped,set003,7,5.03755216074201,78.9291568020397,89.12766344928063,99.12584228737936,2.0614916228867664,2.75018525434073,1e-09,2.0615054195169873,72.15271727089907
DMA1,DW,nongrouped,set003,8,5.037548554663374,78.9291568020397,89.12766344928063,99.12584228737936,2.0614905759498696,2.7501730381213845,1e-08,2.0616285678777695,71.41409886070763
DMA1,DW,nongrouped,set003,9,5.037501634993404,78.9291568020397,89.12766344928063,99.12584228737936,2.061484805815618,2.7500416243784978,1e-07,2.0628642697025787,71.75157370158392
DMA1,DW,nongrouped,set003,10,5.037085021534608,78.94736842105263,89.10945183026772,99.12584228737936,2.0614393837812353,2.7486942173940134,1e-06,2.0751854106528667,71.65488696464422
DMA1,DW,nongrouped,set003,11,5.043527355209378,79.1659078492078,89.10945183026772,99.10763066836643,2.0622823936453036,2.7459297516547934,9.999999999999999e-06,2.195426031338485,68.86754432411024
DMA1,DW,nongrouped,set003,12,5.004264048200682,81.86122746312147,89.96539792387543,99.0894190493535,2.108779805014306,2.6476154252761743,0.0001,2.6014275560801243,99.39767368456168
DMA1,DW,nongrouped,set003,13,4.993043586411261,70.87962119832453,83.70060098342744,98.94372609725005,3.2104334134694534,3.3221481393843546,0.001,4.889710474706841,89.54916347250224
DMA1,DW,nongrouped,set003,14,5.114014254103694,63.28537606993262,71.62629757785467,96.19377162629758,6.374502606027283,6.370134726710738,0.01,13.371361258309772,54.558323403694764
DMA1,DW,nongrouped,set003,15,7.433211421791285,52.121653615006366,65.41613549444546,86.9969040247678,26.100887352120626,24.539883324264665,0.1,38.69776712014154,33.93788893460467
DMA1,DW,nongrouped,set004,0,5.024991295300538,78.67419413585867,88.81806592606083,99.10763066836643,2.0268351737603707,2.737954890456772,0.0,2.02683517607511,132.64420230287777
DMA1,DW,nongrouped,set004,1,5.025014488862567,78.67419413585867,88.81806592606083,99.10763066836643,2.0268369800021078,2.7379323288450355,1e-15,2.0268369824627355,134.01909612774034
DMA1,DW,nongrouped,set004,2,5.025014487449127,78.67419413585867,88.81806592606083,99.10763066836643,2.026836979873941,2.7379323298288583,1e-14,2.0268369824498067,135.65394646463523
DMA1,DW,nongrouped,set004,3,5.025014498401887,78.67419413585867,88.81806592606083,99.10763066836643,2.0268369807386253,2.737932317817372,1e-13,2.0268369846342718,134.2487252568091
DMA1,DW,nongrouped,set004,4,5.0250146112293095,78.67419413585867,88.81806592606083,99.10763066836643,2.0268369896711964,2.737932194573303,1e-12,2.026837006842719,134.69627794662202
DMA1,DW,nongrouped,set004,5,5.025015741024021,78.67419413585867,88.81806592606083,99.10763066836643,2.026837079032112,2.7379309623983366,1.0000000000000001e-11,2.0268372287959187,134.39644876776964
DMA1,DW,nongrouped,set004,6,5.025027106164217,78.67419413585867,88.81806592606083,99.10763066836643,2.0268379711049795,2.7379186575041747,1e-10,2.026839446725741,134.03371429500137
DMA1,DW,nongrouped,set004,7,5.025148939817811,78.65598251684574,88.87270078309962,99.10763066836643,2.0268469038985746,2.737795531908154,1e-09,2.026861634897529,133.38994054192304
DMA1,DW,nongrouped,set004,8,5.029497198661218,78.60134765980695,88.87270078309962,99.10763066836643,2.026839687342607,2.736711452880797,1e-08,2.026986549702006,131.39645261701932
DMA1,DW,nongrouped,set004,9,5.02529319652686,79.67583318156984,89.14587506829356,99.10763066836643,2.0165573534888948,2.6939935867375846,1e-07,2.018063537649121,180.3173022063044
DMA1,DW,nongrouped,set004,10,5.064280905783889,80.0764887998543,89.47368421052632,99.07120743034056,2.0458585205308677,2.6736438443138795,1e-06,2.0598662494077966,102.72640687937906
DMA1,DW,nongrouped,set004,11,5.002566444853159,79.43908213440174,89.1640866873065,99.07120743034056,2.0219101437118554,2.720634099092553,9.999999999999999e-06,2.142827082898381,157.28809067805815
DMA1,DW,nongrouped,set004,12,5.005187408091402,81.62447641595337,89.91076306683664,99.0894190493535,2.102784119394038,2.6527757233732823,0.0001,2.5986723878230356,119.4164990817401
DMA1,DW,nongrouped,set004,13,4.99240842289592,70.93425605536332,83.88271717355673,98.94372609725005,3.1979684540303075,3.294299159531793,0.001,4.887094305051416,98.40081552770219
DMA1,DW,nongrouped,set004,14,5.114039232865423,63.28537606993262,71.62629757785467,96.19377162629758,6.376187801243786,6.371551027588358,0.01,13.371657897494607,54.2726864084704
DMA1,DW,nongrouped,set004,15,7.431491474162328,52.08523037698052,65.39792387543253,87.03332726279366,26.069880045448443,24.51425345066931,0.1,38.69762894752857,36.732565251197755
DMA1,DW,nongrouped,set005,0,5.036966761553813,79.14769623019487,89.14587506829356,99.10763066836643,2.059831599164529,2.7396976725206876,0.0,2.059831606806256,67.68344968046951
DMA1,DW,nongrouped,set005,1,5.036966761552009,79.14769623019487,89.14587506829356,99.10763066836643,2.0598315991644824,2.739697672519208,1e-15,2.0598316067906404,67.82252264428057
DMA1,DW,nongrouped,set005,2,5.03696676155981,79.14769623019487,89.14587506829356,99.10763066836643,2.0598315991646943,2.7396976725084348,1e-14,2.059831606926589,67.97878849570466
DMA1,DW,nongrouped,set005,3,5.0369667615266565,79.14769623019487,89.14587506829356,99.10763066836643,2.0598315991650473,2.739697672386575,1e-13,2.0598316081260015,68.12681566969674
DMA1,DW,nongrouped,set005,4,5.036966761230815,79.14769623019487,89.14587506829356,99.10763066836643,2.0598315991689464,2.7396976711706733,1e-12,2.0598316202947506,67.96052551667623
DMA1,DW,nongrouped,set005,5,5.036966758279675,79.14769623019487,89.14587506829356,99.10763066836643,2.0598315992075866,2.7396976590145026,1.0000000000000001e-11,2.0598317416911978,67.77026266424535
DMA1,DW,nongrouped,set005,6,5.036966728829569,79.14769623019487,89.14587506829356,99.10763066836643,2.0598315995958703,2.739697537460962,1e-10,2.0598329561063133,67.44288825457056
DMA1,DW,nongrouped,set005,7,5.036966434389171,79.14769623019487,89.14587506829356,99.10763066836643,2.0598316034890214,2.7396963219472728,1e-09,2.0598450995559947,68.0427501948148
DMA1,DW,nongrouped,set005,8,5.036963526218258,79.14769623019487,89.14587506829356,99.10763066836643,2.059831644589129,2.7396841591099728,1e-08,2.0599665319219365,67.84629561040119
DMA1,DW,nongrouped,set005,9,5.036931382482493,79.1659078492078,89.14587506829356,99.10763066836643,2.059831919034398,2.7395638710625434,1e-07,2.061180245021745,69.19876413423104
DMA1,DW,nongrouped,set005,10,5.036047611145236,79.12948461118194,89.1640866873065,99.10763066836643,2.059832575198173,2.738256212859669,1e-06,2.0732667563384397,68.80297273277054
DMA1,DW,nongrouped,set005,11,5.032329581468915,79.5301402294664,89.29156802039702,99.10763066836643,2.0608600554218732,2.727544946409362,9.999999999999999e-06,2.190620277987451,68.85147755588041
DMA1,DW,nongrouped,set005,12,5.006612541836432,81.84301584410855,89.91076306683664,99.0894190493535,2.101462502248668,2.6513691226214355,0.0001,2.601010475831527,106.85596364255355
DMA1,DW,nongrouped,set005,13,5.008579373772221,71.0435257694409,83.82808231651794,98.94372609725005,3.1938228809393925,3.3093801560808975,0.001,4.899517846044284,77.52379477853556
DMA1,DW,nongrouped,set005,14,5.105191159602896,63.32179930795848,71.6445091968676,96.19377162629758,6.376511595562613,6.37110878247946,0.01,13.371570315555473,50.66174376143548
DMA1,DW,nongrouped,set005,15,7.431394175483135,52.08523037698052,65.39792387543253,87.01511564378073,26.073507407138898,24.517353476977586,0.1,38.69758285521493,36.708974055201665
DMA1,DW,nongrouped,set006,0,5.033283001238743,79.00200327809142,89.09124021125479,99.10763066836643,2.0263813098683956,2.722352516025731,0.0,2.0263813074707286,107.06446509543146
DMA1,DW,nongrouped,set006,1,5.033283001392078,79.00200327809142,89.09124021125479,99.10763066836643,2.026381309872096,2.7223525161854245,1e-15,2.026381307499902,105.18899602158659
DMA1,DW,nongrouped,set006,2,5.033283001666902,79.00200327809142,89.09124021125479,99.10763066836643,2.0263813098580354,2.722352516217769,1e-14,2.0263813076169446,106.04706434833486
DMA1,DW,nongrouped,set006,3,5.0332830067819145,79.00200327809142,89.09124021125479,99.10763066836643,2.0263813097308243,2.7223525189246662,1e-13,2.02638130878737,105.38484712918681
DMA1,DW,nongrouped,set006,4,5.03328305819015,79.00200327809142,89.09124021125479,99.10763066836643,2.026381308413747,2.722352545927417,1e-12,2.026381320622592,106.0941239920312
DMA1,DW,nongrouped,set006,5,5.033283570028729,79.00200327809142,89.09124021125479,99.10763066836643,2.0263812952928664,2.722352813995179,1.0000000000000001e-11,2.0263814391203745,106.70167972702832
DMA1,DW,nongrouped,set006,6,5.0332886964133365,79.00200327809142,89.09124021125479,99.10763066836643,2.0263811650611134,2.72235549173215,1e-10,2.026382624815822,105.72437019859562
DMA1,DW,nongrouped,set006,7,5.0333403614140195,79.00200327809142,89.07302859224185,99.10763066836643,2.0263799588304328,2.7223816036863884,1e-09,2.0263945785560065,106.27466406742516
DMA1,DW,nongrouped,set006,8,5.033879098209553,78.98379165907849,89.036605354216,99.10763066836643,2.026376463558856,2.7225770911357436,1e-08,2.0265227225582616,105.76574022354731
DMA1,DW,nongrouped,set006,9,5.030076057911543,78.81988708796212,89.036605354216,99.0894190493535,2.027040692636355,2.7211427084588022,1e-07,2.0285065158037585,106.05332750528416
DMA1,DW,nongrouped,set006,10,5.009672497091756,79.54835184847933,89.30977963940995,99.0894190493535,2.022025849522691,2.6826630995744414,1e-06,2.03629848016899,121.11714207751704
DMA1,DW,nongrouped,set006,11,5.028932282951203,79.02021489710435,89.23693316335822,99.12584228737936,2.0644044491906537,2.733548361811192,9.999999999999999e-06,2.198646303129887,79.94813007726727
DMA1,DW,nongrouped,set006,12,5.000827987270327,81.78838098706976,89.8925514478237,99.10763066836643,2.108246128943782,2.647158703184785,0.0001,2.602550276717722,120.90038056248657
DMA1,DW,nongrouped,set006,13,4.970181354899395,70.89783281733746,83.75523584046621,98.94372609725005,3.2075749587014366,3.3195016563663846,0.001,4.889036411515779,81.38416110735216
DMA1,DW,nongrouped,set006,14,5.109081460220679,63.30358768894555,71.62629757785467,96.2119832453105,6.373031181558512,6.367942892857815,0.01,13.371380583775082,49.42519496449709
DMA1,DW,nongrouped,set006,15,7.432262289307445,52.121653615006366,65.39792387543253,86.9969040247678,26.0893352337929,24.530612256299545,0.1,38.69760994548979,34.1783327445407
DMA1,DW,nongrouped,set007,0,5.033171709191038,78.85631032598798,89.10945183026772,99.10763066836643,2.0621428647609172,2.745658368516559,0.0,2.0621428653103067,69.07125388881143
DMA1,DW,nongrouped,set007,1,5.033171708630874,78.85631032598798,89.10945183026772,99.10763066836643,2.0621428648001023,2.745658367907303,1e-15,2.062142865382425,70.12035320715208
DMA1,DW,nongrouped,set007,2,5.033171708632537,78.85631032598798,89.10945183026772,99.10763066836643,2.0621428647990228,2.745658367892441,1e-14,2.062142865522171,69.8822283563105
DMA1,DW,nongrouped,set007,3,5.033171708656383,78.85631032598798,89.10945183026772,99.10763066836643,2.0621428647874387,2.7456583677399324,1e-13,2.0621428667304564,69.57167474011149
DMA1,DW,nongrouped,set007,4,5.033171708886925,78.85631032598798,89.10945183026772,99.10763066836643,2.06214286467233,2.7456583662183327,1e-12,2.0621428791480056,69.31734839730073
DMA1,DW,nongrouped,set007,5,5.033171711194981,78.85631032598798,89.10945183026772,99.10763066836643,2.062142863520993,2.745658351001276,1.0000000000000001e-11,2.062143003177973,69.41757901012694
DMA1,DW,nongrouped,set007,6,5.0331717342742905,78.85631032598798,89.10945183026772,99.10763066836643,2.0621428520079372,2.745658198831614,1e-10,2.062144243622677,69.39556857267254
DMA1,DW,nongrouped,set007,7,5.0331719651614435,78.85631032598798,89.10945183026772,99.10763066836643,2.0621427368827323,2.745656677030404,1e-09,2.0621566478607063,69.66076562431836
DMA1,DW,nongrouped,set007,8,5.033174265935941,78.85631032598798,89.10945183026772,99.10763066836643,2.06214158813792,2.745641460410263,1e-08,2.062280687805622,69.83548007414511
DMA1,DW,nongrouped,set007,9,5.032761020446259,78.85631032598798,89.09124021125479,99.10763066836643,2.062197810335915,2.7456675204012075,1e-07,2.0635882379355412,69.62814793778585
DMA1,DW,nongrouped,set007,10,5.032887730998397,78.89273356401384,89.10945183026772,99.10763066836643,2.062106293464965,2.744297476817423,1e-06,2.075961553147854,69.53158608761406
DMA1,DW,nongrouped,set007,11,4.97906449921085,79.58477508650519,89.12766344928063,99.0894190493535,2.0189291517335364,2.699846531123612,9.999999999999999e-06,2.138970118189967,113.56639784647311
DMA1,DW,nongrouped,set007,12,5.005803344053859,81.97049717719905,90.00182116190129,99.10763066836643,2.1181165859997426,2.643877341407624,0.0001,2.6050016609056597,120.1056802950065
DMA1,DW,nongrouped,set007,13,4.985875546722099,70.87962119832453,83.62775450737571,98.94372609725005,3.205220088890616,3.324563453971645,0.001,4.894335369118744,78.78686233971082
DMA1,DW,nongrouped,set007,14,5.1062211296536475,63.32179930795848,71.6445091968676,96.19377162629758,6.372853011769559,6.367065959646126,0.01,13.371545716728761,52.32424753583865
DMA1,DW,nongrouped,set007,15,7.432119996675979,52.08523037698052,65.39792387543253,87.01511564378073,26.082387498406444,24.52562058999679,0.1,38.69754995561452,37.70459360904796
