,,LBFGSB,LBFGSB,LBFGSB,LBFGSB,LBFGSB,LBFGSB,LBFGSB,LBFGSB,SCP,SCP,SCP,SCP,SCP,SCP,SCP,SCP
,,DMA1,DMA1,DMA1,DMA1,DMA2,DMA2,DMA2,DMA2,DMA1,DMA1,DMA1,DMA1,DMA2,DMA2,DMA2,DMA2
,,DW,DW,HW,HW,DW,DW,HW,HW,DW,DW,HW,HW,DW,DW,HW,HW
,,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped
err050,set001,73.629575669277,78.94736842105263,68.71243853578584,74.01201966854853,85.37101114955786,86.27450980392157,77.9123414071511,80.21914648212226,73.73884538335457,80.29502822800947,67.98397377526862,0.0,85.39023452518262,86.9281045751634,78.52748942714341,5.978469819300269
err050,set002,71.24385357858314,78.78346384993627,67.7290111090876,75.0136587142597,85.35178777393311,86.38985005767013,78.0084582852749,78.3352556708958,73.68421052631578,80.64104898925515,67.85649244217811,74.79511928610454,85.50557477893118,86.94732795078815,78.52748942714341,5.651672433679354
err050,set003,74.32161719176835,78.9291568020397,66.3449280641049,74.21234747769077,85.8323721645521,86.13994617454826,77.93156478277585,80.2960399846213,73.72063376434164,80.34966308504826,67.10981606264797,10.544527408486616,85.52479815455594,86.94732795078815,78.46981930026912,80.16147635524798
err050,set004,73.11965033691496,78.67419413585867,69.07667091604443,74.3580404297942,85.27489427143406,86.40907343329489,78.06612841214917,80.02691272587467,73.70242214532871,80.22218175195775,67.87470406119104,10.526315789473683,85.56324490580546,86.87043444828913,78.52748942714341,5.555555555555555
err050,set005,72.04516481515206,79.14769623019487,69.07667091604443,73.3928246221089,85.71703191080353,86.46674356016916,77.89311803152633,79.68089196462898,73.72063376434164,80.45893279912583,67.82006920415225,74.24877071571663,85.56324490580546,86.98577470203767,78.52748942714341,80.52672049211841
err050,set006,73.30176652704425,79.00200327809142,69.42269167729012,74.88617738116918,85.39023452518262,86.7358708189158,78.04690503652442,80.37293348712033,73.77526862138043,80.60462575122929,67.83828082316518,10.526315789473683,85.56324490580546,86.87043444828913,78.52748942714341,5.555555555555555
err050,set007,73.9938080495356,78.85631032598798,67.76543434711346,74.32161719176835,85.48635140330641,86.35140330642061,78.06612841214917,80.5843906189927,73.68421052631578,80.24039337097068,68.00218539428155,10.92697140775815,85.62091503267973,86.96655132641293,78.54671280276817,5.613225682429835
err050,set008,72.11801129120379,78.87452194500091,67.23729739573848,74.46731014387179,85.37101114955786,86.38985005767013,78.02768166089965,78.6236063052672,73.72063376434164,80.33145146603533,67.85649244217811,5.936987798215261,85.52479815455594,86.90888119953864,78.48904267589388,16.666666666666664
err050,set009,72.91932252777272,78.94736842105263,68.40284101256601,73.52030595519942,85.46712802768167,86.639753940792,78.06612841214917,80.33448673587081,73.72063376434164,80.3132398470224,67.80185758513932,10.526315789473683,85.52479815455594,87.00499807766244,78.52748942714341,9.054209919261822
err050,set010,72.70078309961757,78.8016754689492,67.71079949007466,74.7769076670916,84.42906574394463,86.33217993079585,77.95078815840061,80.06535947712419,73.77526862138043,80.22218175195775,67.03696958659626,6.665452558732471,85.52479815455594,86.87043444828913,78.54671280276817,80.12302960399846
err050,set011,73.0832270988891,79.80331451466036,68.98561282097978,74.92260061919505,85.33256439830834,86.35140330642061,77.85467128027682,79.58477508650519,73.77526862138043,80.27681660899654,67.80185758513932,74.7769076670916,85.56324490580546,86.96655132641293,78.52748942714341,5.555555555555555
err050,set012,72.13622291021672,79.1659078492078,69.31342196321253,74.75869604807868,85.37101114955786,86.62053056516724,78.06612841214917,80.35371011149557,73.7570570023675,80.24039337097068,67.82006920415225,74.68584957202695,85.48635140330641,86.98577470203767,78.52748942714341,5.594002306805075
err050,set013,74.37625204880713,79.111272992169,68.5121107266436,75.26862138044072,85.52479815455594,86.29373317954632,77.89311803152633,79.23875432525952,73.68421052631578,80.51356765616462,67.76543434711346,12.857403023128755,85.48635140330641,86.85121107266436,78.52748942714341,5.555555555555555
err050,set014,73.72063376434164,78.8016754689492,68.89455472591514,74.03023128756146,85.5440215301807,86.4475201845444,77.89311803152633,80.56516724336792,73.72063376434164,80.22218175195775,67.6743762520488,11.564378073210708,85.56324490580546,86.7358708189158,78.52748942714341,5.555555555555555
err050,set015,74.30340557275542,78.71061737388455,68.05682025132033,74.57657985794938,85.42868127643214,86.639753940792,78.04690503652442,80.77662437524029,73.70242214532871,80.34966308504826,67.65616463303587,10.526315789473683,85.58246828143022,86.90888119953864,78.48904267589388,5.670895809304114
