,,,,,,maxerr,err050,err075,err200,err_train,err_val,regparams,objval,time,gurobifail
LBFGSB,DMA1,DW,nongrouped,set001,0,4.998630940239892,79.62119832453105,89.14587506829356,99.0894190493535,2.0173444536407317,2.6923056740302638,0.0,2.017344447041978,107.75015311446803,False
LBFGSB,DMA1,DW,nongrouped,set001,1,4.998630941258995,79.62119832453105,89.14587506829356,99.0894190493535,2.0173444535715546,2.6923056704317374,1e-15,2.017344446977082,107.6475133868236,False
LBFGSB,DMA1,DW,nongrouped,set001,2,4.998630948927996,79.62119832453105,89.14587506829356,99.0894190493535,2.0173444537478606,2.6923056686395745,1e-14,2.017344447237029,107.54597368826236,False
LBFGSB,DMA1,DW,nongrouped,set001,3,4.9986310431350205,79.62119832453105,89.14587506829356,99.0894190493535,2.0173444559372067,2.692305657249067,1e-13,2.0173444501129865,108.99274801977657,False
LBFGSB,DMA1,DW,nongrouped,set001,4,4.998631979927694,79.62119832453105,89.14587506829356,99.0894190493535,2.017344477501005,2.6923055359136225,1e-12,2.0173444787270354,107.00251099173695,False
LBFGSB,DMA1,DW,nongrouped,set001,5,4.998641325170112,79.62119832453105,89.14587506829356,99.0894190493535,2.0173446926629803,2.692304296119012,1.0000000000000001e-11,2.0173447646780445,107.55355370981815,False
LBFGSB,DMA1,DW,nongrouped,set001,6,4.998733381103889,79.62119832453105,89.14587506829356,99.0894190493535,2.017346858464031,2.6922912532277183,1e-10,2.017347638185102,108.36261697432126,False
LBFGSB,DMA1,DW,nongrouped,set001,7,4.999515264159399,79.62119832453105,89.14587506829356,99.0894190493535,2.0173700101236345,2.692096707970831,1e-09,2.0173778630425536,107.34361837715771,False
LBFGSB,DMA1,DW,nongrouped,set001,8,4.98932818285401,79.49371699144055,89.10945183026772,99.0894190493535,2.0179555875326574,2.6885507173012777,1e-08,2.018033262331955,105.90232195096915,False
LBFGSB,DMA1,DW,nongrouped,set001,9,5.037122217390689,78.54671280276817,89.00018211619013,99.16226552540522,2.0440053131005436,2.715968815475721,1e-07,2.0446747636945823,66.69291567584213,False
LBFGSB,DMA1,DW,nongrouped,set001,10,5.008457834797596,79.23875432525952,89.23693316335822,99.10763066836643,2.0202961817185687,2.7084256173035253,1e-06,2.0275338012740947,103.91475245068688,False
LBFGSB,DMA1,DW,nongrouped,set001,11,5.024036889350143,79.78510289564741,89.27335640138409,99.10763066836643,2.03549293792239,2.6965740241550207,9.999999999999999e-06,2.100057443314471,74.53433100097514,False
LBFGSB,DMA1,DW,nongrouped,set001,12,5.020760278608535,81.56984155891459,89.85612820979784,99.10763066836643,2.133280857102455,2.6645325284952963,0.0001,2.6074172162897797,60.725094948077945,False
LBFGSB,DMA1,DW,nongrouped,set001,13,4.990223446138856,70.84319796029867,83.75523584046621,98.94372609725005,3.203567699720548,3.315488004320454,0.001,4.8884584576609615,53.9745282534686,False
LBFGSB,DMA1,DW,nongrouped,set001,14,5.100259713853859,63.394645784010194,71.71735567291933,96.24840648333637,6.3604456418375745,6.361883045523895,0.01,13.371642551354762,33.92899722854259,False
LBFGSB,DMA1,DW,nongrouped,set001,15,7.433543686169045,52.06701875796759,65.3797122564196,87.03332726279366,26.075052381502324,24.51857115529985,0.1,38.69762281732746,26.073818709048297,False
LBFGSB,DMA1,DW,grouped,set001,0,4.875016657154703,70.02367510471682,87.28828992897468,98.81624476415953,2.640147605997001,3.381382770578833,0.0,2.6401475995517103,88.42017390039861,False
LBFGSB,DMA1,DW,grouped,set001,1,4.875016657153736,70.02367510471682,87.28828992897468,98.81624476415953,2.6401476059960647,3.381382770572481,1e-15,2.6401475995668964,87.57417155663525,False
LBFGSB,DMA1,DW,grouped,set001,2,4.875016657153196,70.02367510471682,87.28828992897468,98.81624476415953,2.6401476059975435,3.3813827705919617,1e-14,2.6401475995580506,87.16655261492139,False
LBFGSB,DMA1,DW,grouped,set001,3,4.875016657152202,70.02367510471682,87.28828992897468,98.81624476415953,2.6401476060079054,3.3813827708388122,1e-13,2.6401475996296657,87.12642208269892,False
LBFGSB,DMA1,DW,grouped,set001,4,4.875016657124462,70.02367510471682,87.28828992897468,98.81624476415953,2.640147606103929,3.381382773155736,1e-12,2.6401476003167135,87.26078473303338,False
LBFGSB,DMA1,DW,grouped,set001,5,4.875016656855692,70.02367510471682,87.28828992897468,98.81624476415953,2.640147607059725,3.381382796375804,1.0000000000000001e-11,2.6401476069834637,87.73499093288625,False
LBFGSB,DMA1,DW,grouped,set001,6,4.875016654162067,70.02367510471682,87.28828992897468,98.81624476415953,2.640147616618945,3.3813830284662485,1e-10,2.6401476735927556,87.674245547705,False
LBFGSB,DMA1,DW,grouped,set001,7,4.875016627125575,70.02367510471682,87.28828992897468,98.81624476415953,2.640147712241774,3.381385349353935,1e-09,2.6401483398598824,87.77918370314612,False
LBFGSB,DMA1,DW,grouped,set001,8,4.875016344238787,70.02367510471682,87.28828992897468,98.81624476415953,2.640148667761131,3.381408513761409,1e-08,2.6401550016023685,87.27177646998443,False
LBFGSB,DMA1,DW,grouped,set001,9,4.875012402792521,70.02367510471682,87.28828992897468,98.81624476415953,2.6401581456245005,3.3816364804375985,1e-07,2.6402215382207235,84.63348202829624,False
LBFGSB,DMA1,DW,grouped,set001,10,4.874910560602402,70.00546348570388,87.28828992897468,98.81624476415953,2.6402592235947067,3.3835657825448946,1e-06,2.640892869480753,84.73113869262484,False
LBFGSB,DMA1,DW,grouped,set001,11,4.8683507792970175,69.78692405754872,87.17902021489711,98.7980331451466,2.639234262968669,3.4049915850446317,9.999999999999999e-06,2.645523535119606,80.47425410158588,False
LBFGSB,DMA1,DW,grouped,set001,12,4.911876522239638,70.53360043707886,87.65252230923329,98.90730285922419,2.6285258916599323,3.3016376161801104,0.0001,2.6924657162081695,128.53458804509606,False
LBFGSB,DMA1,DW,grouped,set001,13,4.958216551944531,73.01038062283737,88.45383354580221,98.87087962119833,2.6168708493988437,3.2218610900612448,0.001,3.2562376495663,83.59040981643372,False
LBFGSB,DMA1,DW,grouped,set001,14,4.839646414511762,66.5270442542342,84.19231469677653,96.2119832453105,3.806118511195463,5.341976232737962,0.01,7.425612752342821,120.9829764939353,False
LBFGSB,DMA1,DW,grouped,set001,15,5.679605271416037,56.1099981788381,65.1975960662903,90.4206883991987,13.314631855702222,14.681956344181996,0.1,19.573347261534657,40.38646134501223,False
LBFGSB,DMA1,HW,nongrouped,set001,0,5.094920727949045,72.46403205244947,85.86778364596613,98.70697505008195,2.578866422642849,3.4214814871191224,0.0,2.5788663848361466,117.21573956854225,False
LBFGSB,DMA1,HW,nongrouped,set001,1,5.094932874349311,72.46403205244947,85.86778364596613,98.70697505008195,2.5788626557841434,3.4214798458726783,1e-15,2.5788626180414553,117.1400124886661,False
LBFGSB,DMA1,HW,nongrouped,set001,2,5.0950451424475744,72.46403205244947,85.86778364596613,98.70697505008195,2.578827237450377,3.421462001173539,1e-14,2.578827200521469,122.40536841565019,False
LBFGSB,DMA1,HW,nongrouped,set001,3,5.09577245196121,72.40939719541068,85.86778364596613,98.70697505008195,2.5785260874632066,3.4210849822929346,1e-13,2.578526058759029,129.0701097462919,False
LBFGSB,DMA1,HW,nongrouped,set001,4,5.0881332922964475,72.68257148060464,85.90420688399199,98.72518666909488,2.576442392606505,3.403575365931692,1e-12,2.576442437223494,125.68558927685491,False
LBFGSB,DMA1,HW,nongrouped,set001,5,5.263035231992447,71.66272081588053,85.95884174103078,98.9801493352759,2.5888088099971043,3.3430233138334233,1.0000000000000001e-11,2.5888096633113,122.66346209775375,False
LBFGSB,DMA1,HW,nongrouped,set001,6,5.1248402033689615,72.30012748133309,85.63103259879803,98.94372609725005,2.5642785707331806,3.384470688909545,1e-10,2.564287165207861,127.77331916240398,False
LBFGSB,DMA1,HW,nongrouped,set001,7,5.094412741318791,72.71899471863048,86.12274631214714,98.72518666909488,2.5659527614806787,3.3996141931234876,1e-09,2.566041937514936,115.69897652815082,False
LBFGSB,DMA1,HW,nongrouped,set001,8,5.037041446857302,71.99052995811329,85.57639774175925,98.54307047896557,2.60472140128772,3.551084250492094,1e-08,2.605436174066706,115.69945597317503,False
LBFGSB,DMA1,HW,nongrouped,set001,9,5.122982543493123,72.50045529047532,85.8495720269532,98.92551447823712,2.5787873658325227,3.3496818105728097,1e-07,2.5943940068590154,89.20471318837356,False
LBFGSB,DMA1,HW,nongrouped,set001,10,4.996222446719159,73.01038062283737,86.52340193043162,98.99836095428883,2.5970139587832937,3.1821036999713965,1e-06,2.7147633325051292,91.88473346107129,False
LBFGSB,DMA1,HW,nongrouped,set001,11,5.138201766581744,72.51866690948825,86.6326716445092,98.9801493352759,2.405543273703572,3.255123756814922,9.999999999999999e-06,2.8285399981624586,165.10756676304038,False
LBFGSB,DMA1,HW,nongrouped,set001,12,5.239866927783396,68.8217082498634,82.13440174831543,97.74175924239665,3.3451489197267983,4.4369861366402255,0.0001,6.030052058123774,147.77157630917148,False
LBFGSB,DMA1,HW,nongrouped,set001,13,8.052951269865986,55.162993990165724,66.41777454015661,90.51174649426335,13.891745651382749,12.795714763970116,0.001,24.825164688110352,36.2630805946658,False
LBFGSB,DMA1,HW,nongrouped,set001,14,12.994308500715348,37.35203059551994,41.121835731196505,59.64305226734656,86.55859429954593,77.80952441902265,0.01,131.32810042239902,28.403259884009376,False
LBFGSB,DMA1,HW,nongrouped,set001,15,16.619473711739445,34.41995993443817,36.769258787106175,51.520670187579675,176.04215559236036,160.9818474876626,0.1,177.2723237284459,5.8196995877029405,False
LBFGSB,DMA1,HW,grouped,set001,0,5.683247360280177,54.43452922964852,71.55345110180295,98.83445638317247,4.00918049240635,5.093243009592142,0.0,4.009180483277305,59.450278001129114,False
LBFGSB,DMA1,HW,grouped,set001,1,5.683247360281129,54.43452922964852,71.55345110180295,98.83445638317247,4.009180492406319,5.093243009600079,1e-15,4.009180483294181,59.55139171642174,False
LBFGSB,DMA1,HW,grouped,set001,2,5.6832473602921425,54.43452922964852,71.55345110180295,98.83445638317247,4.00918049243364,5.093243008080371,1e-14,4.009180483489719,59.522654525858385,False
LBFGSB,DMA1,HW,grouped,set001,3,5.683247360152592,54.43452922964852,71.55345110180295,98.83445638317247,4.009180492708534,5.093242993417346,1e-13,4.009180485314137,60.05477092706961,False
